"ACS Year","Community Area","Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $125,000","$125,000 +","Male 0 to 17","Male 18 to 24","Male 25 to 34","Male 35 to 49","Male 50 to 64","Male 65+","Female 0 to 17","Female 18 to 24","Female 25 to 34","Female 35 to 49","Female 50 to 64","Female 65 +","Total Population","White","Black or African American","American Indian or Alaska Native","Asian","Native Hawaiian or Pacific Islander","Other Race","Multiracial","White Not Hispanic or Latino","Hispanic or Latino","Record ID"
"2023","ALBANY PARK","1,269","1,916","1,801","2,306","3,379","4,799","2,955","4,513","5,442","4,354","2,287","4,913","2,405","4,116","5,228","3,764","3,054","47,830","21,496","2,228","759","7,124","1","7,888","8,334","16,115","21,108","2023_ALBANY PARK"
"2023","ARCHER HEIGHTS","223","752","441","795","739","1,927","732","1,102","1,240","1,417","1,035","1,502","899","978","1,167","854","1,021","13,875","6,232","10","108","679","0","3,705","3,142","2,043","11,097","2023_ARCHER HEIGHTS"
"2023","ARMOUR SQUARE","701","798","370","637","597","1,300","487","871","1,174","1,177","1,032","1,022","517","965","1,163","1,378","2,063","13,149","2,556","1,487","107","8,402","61","212","325","2,226","565","2023_ARMOUR SQUARE"
"2023","ASHBURN","797","1,351","1,985","3,014","2,735","5,150","1,964","2,881","4,178","4,228","2,473","5,138","2,248","2,774","4,582","4,044","3,184","42,842","11,297","18,124","697","436","0","7,772","4,517","3,774","19,917","2023_ASHBURN"
"2023","AUBURN GRESHAM","2,541","2,451","1,592","2,202","1,850","5,803","1,836","2,964","3,431","3,469","3,223","5,305","2,304","3,057","4,522","5,213","5,357","46,483","760","43,414","119","399","0","993","798","491","1,577","2023_AUBURN GRESHAM"
"2023","AUSTIN","5,506","5,084","3,600","4,047","3,725","12,399","4,668","6,681","9,920","8,110","6,175","12,163","4,575","6,643","10,092","10,040","8,811","100,278","10,447","73,602","531","678","21","8,512","6,487","5,386","19,591","2023_AUSTIN"
"2023","AVALON PARK","420","489","356","518","630","1,216","256","362","781","747","664","714","450","509","1,087","965","1,741","9,492","27","8,924","0","65","0","265","211","27","48","2023_AVALON PARK"
"2023","AVONDALE","689","1,191","1,106","1,726","3,059","2,666","1,811","4,559","4,354","3,117","1,272","3,768","1,755","4,664","3,753","2,913","1,718","36,350","19,289","927","263","1,750","15","7,809","6,297","13,718","18,606","2023_AVONDALE"
"2023","BELMONT CRAGIN","1,585","3,843","3,031","4,588","3,299","9,084","3,962","5,195","8,427","6,668","3,396","9,697","3,604","4,798","7,358","6,445","5,352","73,988","27,909","3,370","993","1,939","23","25,743","14,011","10,782","57,511","2023_BELMONT CRAGIN"
"2023","BEVERLY","160","294","355","1,074","3,255","2,069","856","863","1,776","2,112","1,795","2,206","730","1,027","1,667","2,627","2,082","19,811","11,330","6,671","9","176","23","276","1,327","10,974","1,389","2023_BEVERLY"
